Genotype,Length_mm,Width_mm,Area_mm_2,GW_mg
cv2,6.99,3.7,20.32,53.26
cv2,4.82,2.45,8.65,17.25
cv2,6.24,3.21,15.5,37.27
cv2,4.33,1.64,5.18,8.77
cv2,4.88,1.89,6.8,12.56
cv2,6,2.6,11.18,24.21
cv2,6.62,3.51,16.97,42
cv2,5.75,2.96,12.84,29.05
cv2,5.96,2.79,12.14,26.98
cv2,5.86,2.83,11.69,25.67
cv2,6.16,2.55,11.68,25.64
cv2,6.06,2.46,10.65,22.71
cv2,6.63,3.23,16.46,40.33
cv2,6.65,3.32,17.52,43.8
cv2,5.94,2.54,11.14,24.09
cv2,5.54,2.63,10.57,22.48
cv2,6.11,3.21,15.08,35.92
cv2,6.15,2.74,12.21,27.19
cv2,7.5,3.15,17.68,44.33
cv2,5.6,2.56,10.88,23.36
cv2,7.35,3.41,18.8,48.06
cv2,6.58,3.55,18.18,46.01
cv2,6.69,3.43,17.84,44.86
cv2,5.73,2.89,11.9,26.28
cv2,6.13,2.61,12.41,27.79
cv2,6.64,3.17,15.02,35.76
cv2,6.83,3.1,15.45,37.1
cv2,6.65,3.09,16.63,40.88
cv2,6.97,3.24,16.73,41.22
cv2,6.43,3.66,17.33,43.16
cv2,5.78,3.02,13.39,30.7
cv2,6.9,3.14,16.8,41.45
cv2,6.49,3.24,15.34,36.76
cv2,6.39,3.6,17.65,44.24
cv2,5.91,2.4,10.29,21.69
cv2,6.37,2.51,12.88,29.19
cv2,6.57,3.07,15.79,38.17
cv2,5.55,3.02,12.47,27.97
cv2,6.13,3.2,15.16,36.18
cv2,6.5,3.83,19.59,50.76
cv2,6.84,3.57,17.81,44.77
cv2,5.54,2.89,11.66,25.59
cv2,6.4,2.66,12.63,28.42
cv2,6.87,2.99,14.78,34.98
cv2,6.38,3.31,16.39,40.1
cv2,5.84,2.81,12.07,26.77
cv2,5.22,2.65,10.36,21.89
cv2,6.39,3.1,14.46,33.99
cv2,6.15,2.64,12.02,26.64
cv2,6.26,2.86,13.39,30.7
cv2,5.28,2.18,8.68,17.32
cv2,5.17,2.69,10.77,23.06
cv2,6.85,3.68,19.5,50.46
cv2,5.78,2.58,11.7,25.72
cv2,6.65,3.32,15.64,37.69
cv2,6.55,3.15,15.44,37.07
cv2,5.95,3.09,13.87,32.19
cv2,5.77,2.8,11.93,26.39
cv2,6.31,3.54,16.05,39.02
cv2,6.63,3.24,16.64,40.93
cv2,6.42,2.91,14.52,34.18
cv2,5.73,2.55,10.56,22.46
cv2,4.86,2.28,8.56,17.02
cv2,7.04,3.27,17.46,43.6
cv2,6.43,3.2,14.95,35.54
cv2,4.76,2.14,7.58,14.49
cv2,6.09,3.1,13.99,32.54
cv2,6.13,2.64,12.06,26.75
cv2,6.62,3.45,17.7,44.39
cv2,6.5,3.12,15.26,36.51
cv2,6.42,3.06,14.61,34.46
cv2,6.69,3.15,15.74,38.03
cv2,6.58,3.42,16.77,41.34
cv2,7.26,3.64,19.51,50.49
cv2,7.24,3.6,19.95,51.98
cv2,4.91,2.17,7.65,14.67
cv2,5.56,2.52,10.8,23.13
cv2,6.69,3.26,17.1,42.43
cv2,6.97,3.49,17.4,43.39
cv2,6.94,3.33,17.89,45.03
cv2,3.96,1.92,5.77,10.12
cv2,6.21,3.34,15.88,38.48
cv2,6.61,3.28,16.26,39.7
cv2,6.2,2.55,12.2,27.16
cv2,5.77,2.97,13.16,30.01
cv2,6.42,3.47,17.19,42.72
cv2,6.5,2.63,13.21,30.17
cv2,6.13,2.98,14.01,32.59
cv2,6.49,3.22,15.56,37.46
cv2,6.21,3.9,18.36,46.6
cv2,6.97,3.73,19.16,49.29
cv2,5.2,2.38,9.53,19.6
cv2,6.85,3.18,16.01,38.88
cv2,5.43,2.37,9.89,20.59
cv2,4.88,2.22,8.07,15.73
cv2,6.82,3.37,17.99,45.36
cv2,6.37,3.04,15.04,35.81
cv2,6.55,3.65,18.42,46.81
cv2,6.79,3.16,16.99,42.06
cv2,6.01,3,13.82,32.02
cv2,6.99,3.81,20.25,53.02
cv2,5.81,2.4,10.84,23.23
cv2,6.69,2.7,13.87,32.19
cv2,6.5,3.09,14.22,33.25
cv2,6.42,2.84,14.01,32.62
cv2,6.21,2.98,14.51,34.15
cv2,4.95,2.45,9.19,18.69
cv2,5.96,3.6,16.33,39.9
cv2,6.52,3.22,16.35,39.99
cv2,5.18,2.4,9.51,19.55
cv2,6.63,3.35,16.9,41.77
cv2,6.71,2.68,13.16,30.01
cv2,4.13,1.8,5.59,9.69
cv2,6.94,3.1,16.55,40.62
cv2,6.02,2.9,13.33,30.54
cv2,5.33,2.75,11.22,24.31
cv2,5.81,2.71,11.52,25.18
cv2,6.57,2.39,11.39,24.82
cv2,6.28,3.15,15.16,36.18
cv2,6.43,3.1,13.92,32.32
cv2,6.1,2.88,13.4,30.73
cv2,5.54,2.91,12.34,27.58
cv2,6.02,2.94,13.48,31
cv2,6.71,3.03,15.01,35.7
cv2,6.69,2.85,13.93,32.35
cv2,6.97,3.45,18.56,47.25
cv2,5.36,2.43,9.65,19.93
cv2,6.95,3.34,17.76,44.59
cv2,5.81,2.6,11.48,25.08
cv2,5.55,2.52,10.28,21.67
cv2,6.31,2.74,13.17,30.06
cv2,6.07,2.86,13.44,30.87
cv2,6.36,3.47,16.41,40.16
cv2,6.67,4.39,22.39,60.55
cv2,6.48,3.22,16.79,41.39
cv2,4.93,2.55,9.56,19.69
cv2,6.85,3.24,17.43,43.51
cv2,6.97,3.62,18.59,47.37
cv2,7.2,3.97,21.55,57.56
cv2,6.82,3.7,19.61,50.83
cv2,6.63,3.39,17.48,43.66
cv2,4.7,2.31,7.96,15.46
cv2,6.64,3.59,17.42,43.48
cv2,5.32,2.62,10.01,20.93
cv2,6.17,3.06,14.99,35.65
cv2,4.91,2.52,9.37,19.17
cv2,5.43,2.61,10.51,22.31
cv2,6.73,4.01,20.9,55.29
cv2,5.93,3.12,13.74,31.78
cv2,5.78,3.21,14.31,33.52
cv2,6.82,3.29,17.33,43.16
cv2,7.04,3.57,19.03,48.87
cv2,6.02,3.02,13.78,31.89
cv2,6.7,3.17,15.99,38.82
cv2,7.03,3.47,19.01,48.78
cv2,6.61,3.4,17.38,43.34
cv2,6.81,3.62,18.23,46.15
cv2,5.23,2.56,10.3,21.71
cv2,4.55,2.22,7.6,14.53
cv2,7.17,3.21,16.98,42.03
cv2,5.72,2.65,11.44,24.95
cv2,5.85,2.65,11.58,25.36
cv2,6.1,2.86,12.9,29.24
cv2,5,2.73,9.79,20.32
cv2,6.36,3.46,15.9,38.54
cv2,6.91,2.94,15.16,36.18
cv2,6.62,3.85,18.94,48.54
cv2,6.21,3.09,14.08,32.81
cv2,6.19,3.12,14.02,32.65
cv2,5.83,2.38,10.31,21.74
cv2,7.27,3.74,20.12,52.56
cv2,5.6,2.48,10.34,21.84
cv2,6.13,3.19,14.57,34.35
cv2,6.68,3.09,15.63,37.66
cv2,6.48,2.6,12.16,27.06
cv2,6.84,3.31,16.52,40.53
cv2,6.75,3.14,17.44,43.54
cv2,5.19,2.27,8.62,17.18
cv2,4.98,2.65,9.93,20.71
cv2,5.88,3.05,13.34,30.57
cv2,6.92,3.05,15.79,38.2
cv2,6.73,2.84,14.29,33.47
cv2,6.76,3.64,19.19,49.41
cv2,6.44,3.41,16.72,41.19
cv2,4.93,3.03,10.36,21.89
cv2,7.06,4.1,22.14,59.66
cv2,7.05,3.26,17.26,42.93
cv2,6.32,3.78,18.23,46.15
cv2,6.79,3.39,17.33,43.16
cv2,7.1,3.23,16.48,40.39
cv2,6.99,4.12,21.29,56.66
cv2,6.69,3.68,19.28,49.71
cv2,6.07,2.93,13.28,30.38
cv2,6.42,3.44,16.43,40.24
cv2,6.02,2.9,13.23,30.22
cv2,6.44,3.09,15.02,35.73
cv2,6.31,3.16,15.62,37.63
cv2,6.92,4,21.31,56.72
cv2,5.72,3.26,14.32,33.55
cv2,6.73,3.37,16.5,40.47
cv2,5.3,1.95,7.56,14.44
cv2,7.2,3.32,18.1,45.71
cv2,7.07,3.4,17.98,45.33
cv2,5.72,2.56,11.21,24.29
cv2,6.91,3.58,18.47,46.96
cv2,6.75,2.68,13.58,31.3
cv2,6.49,4.25,20.09,52.47
cv2,7.55,3.82,21.92,58.88
cv2,7.75,3.07,17.56,43.92
cv2,6.78,3.7,19.69,51.1
cv2,6.07,3.19,15.34,36.76
cv2,6.26,4.2,21.12,56.04
cv2,7.32,3.29,18.54,47.19
cv2,5.67,2.65,11.29,24.52
cv2,6.76,3.59,19.57,50.67
cv2,6.71,3.91,19.81,51.49
cv2,6.42,3.13,15.87,38.45
cv2,6.84,3.33,16.3,39.82
cv2,5.06,2.96,11.19,24.24
cv2,5.14,2.47,9.45,19.38
cv2,6.98,3.17,17.7,44.39
cv2,6.62,2.93,14.15,33.03
cv2,7.25,3.47,19,48.75
cv2,6.91,4.14,21.93,58.91
cv2,6.72,3.03,16.15,39.33
cv2,6.67,3.19,16.06,39.05
cv2,7.01,2.96,15.69,37.86
cv2,6.31,3.29,15.72,37.97
cv2,8.01,3.69,22.05,59.32
cv2,6.87,2.85,15.12,36.06
cv2,6.89,3.11,15.73,38
cv2,7.13,3.34,18.18,46.01
cv2,6.44,3.32,16.17,39.39
cv2,7.05,3.13,16.98,42.03
cv2,6.65,3.89,19,48.75
cv2,6.28,2.63,12.46,27.92
cv2,6.89,3.75,20.03,52.25
cv2,7.09,3.65,19.42,50.16
cv2,6.35,3.15,15.2,36.31
cv2,6.55,3.43,18.06,45.59
cv2,6.72,3.93,21.31,56.72
cv2,7.15,3.27,17.34,43.19
cv2,6.37,3.03,14.56,34.29
cv2,6.67,3.63,19.03,48.87
cv2,6.79,3.44,18.17,45.95
cv2,6.61,3.87,18.65,47.58
cv2,6.55,3.34,17.14,42.55
cv2,6.03,3.02,14.1,32.89
cv2,6.82,3.89,20.61,54.28
cv2,6.48,3.13,15.39,36.9
cv2,6.85,3.33,16.6,40.79
cv2,6.73,4.18,21.51,57.41
cv2,6.95,3.75,19.74,51.28
cv2,7.56,3.33,18.65,47.55
cv2,6.69,4.14,21.33,56.78
cv2,6.57,3.75,18.69,47.7
cv2,6.92,2.83,14.77,34.95
cv2,6.97,4.15,22.12,59.6
cv2,6.67,3.25,17.42,43.48
cv2,6.17,2.98,13.96,32.46
cv2,7.26,3.46,18.69,47.7
cv2,6.72,2.51,13.69,31.62
cv2,6.97,3.1,16.06,39.05
cv2,6.02,2.89,13.17,30.06
cv2,7.26,3.79,21.63,57.84
cv2,7.12,3.54,20.1,52.5
cv2,7.07,3.27,17.57,43.98
cv2,6.63,3.37,17.46,43.6
cv2,6.94,3.47,19.31,49.8
cv2,6.4,3.03,14.94,35.51
cv2,6.02,3.45,15.95,38.71
cv2,6.13,2.98,14.08,32.81
cv2,6.01,2.68,11.82,26.05
cv2,6.47,3.22,15.95,38.68
cv2,6.53,3.07,15.29,36.59
cv2,6.5,3.48,17.13,42.52
cv2,6.44,3.93,19.18,49.35
cv2,5.96,3,13.48,31
cv2,5.86,3.24,14.36,33.69
cv2,5.67,2.73,11.7,25.72
cv2,6.5,3.19,15.7,37.89
cv2,6.05,2.8,12.42,27.82
cv2,6.45,3.14,15.29,36.59
cv2,6.63,2.77,14.01,32.62
cv2,7.46,3.65,21.51,57.44
cv2,6.94,3.86,20.31,53.23
cv2,6.99,3.26,17.23,42.84
cv2,5.43,2.26,9.07,18.38
cv2,7.05,3.32,17.87,44.95
cv2,7.29,3.17,17.57,43.95
cv2,6.61,4.2,20.86,55.14
cv2,6.52,2.92,14.81,35.09
cv2,6.61,3.54,17.76,44.59
cv2,7.57,3.58,20.87,55.17
cv2,5.98,2.75,12.25,27.32
cv2,6.39,2.55,11.97,26.49
cv2,6.25,3.45,15.33,36.73
cv2,6.13,2.92,13.61,31.38
cv2,6.63,2.87,14.63,34.54
cv2,6.34,3.16,15.21,36.34
cv2,6.44,3.32,16.88,41.71
cv2,6.75,3.63,18.74,47.88
cv2,4.97,2.49,9.42,19.31
cv2,6.55,3.15,15.72,37.97
cv2,5.6,2.85,11.74,25.82
cv2,6.59,3.93,19.65,50.98
cv2,6.82,3.68,18.48,46.98
cv2,6.53,3.03,14.3,33.49
cv2,6.67,2.99,15.09,35.95
cv2,5.59,2.61,10.24,21.57
cv2,6.65,3.13,15.35,36.79
cv2,7.09,3.48,18.91,48.45
cv2,6.11,2.99,14.43,33.91
cv2,6.87,3.17,16.02,38.93
cv2,6.01,3.28,14.56,34.29
cv2,7.22,3.8,21.08,55.91
cv2,6.61,3.44,17.79,44.68
cv2,5.09,2.73,10.49,22.26
cv2,6.19,3.46,16.18,39.45
cv2,7.54,3.54,19.35,49.95
cv2,5.93,3.1,13.77,31.86
cv2,6.32,3.55,16.72,41.19
cv2,6.17,3.81,18.66,47.61
cv2,6.57,3.34,16.19,39.47
cv2,6.53,2.84,14.02,32.65
cv2,5.91,3.44,15.53,37.35
cv2,6.5,3.64,18.02,45.45
cv2,7.26,2.94,16.13,39.27
cv2,7.04,3.22,16.96,41.97
cv2,6.76,3.64,19.14,49.23
cv2,6.61,3.32,16.72,41.19
cv2,7.07,3.82,21.4,57.03
cv2,6.61,3.51,17.61,44.09
cv2,6.97,3.65,19.01,48.78
cv2,6.16,3.1,14.4,33.82
cv2,6.95,3.98,19.67,51.04
cv2,6.26,3.39,15.69,37.86
cv2,6.67,3.51,17.97,45.3
cv2,6.59,3.65,17.76,44.59
cv2,5.88,2.67,11.54,25.23
cv2,7.07,3.78,20.66,54.46
cv2,6.55,3.31,16.91,41.8
cv2,6.65,3.11,15.7,37.89
cv2,6.55,3.07,15.62,37.63
cv2,6.5,3.93,18.71,47.76
cv2,6.48,2.93,13.89,32.24
cv2,5.3,2.67,10.67,22.76
cv2,6.73,3.59,18.3,46.39
cv2,6.47,3.08,15.09,35.95
cv2,6.26,3.31,15.65,37.75
cv2,7.91,3.5,21.82,58.53
cv2,7.12,4.01,21.43,57.12
cv2,6.92,3,15.31,36.65
cv2,6.92,3.67,19.78,51.4
cv2,6.8,3.34,17.09,42.38
cv2,5.6,2.99,12.53,28.13
cv2,6.14,2.56,11.36,24.72
cv2,7.11,3.65,20.07,52.41
cv2,6.57,3.89,18.98,48.69
cv2,6.79,3.11,15.92,38.59
cv2,6.36,3.2,15.25,36.48
cv2,6.81,3.54,19.27,49.68
cv2,6.28,3.47,16.49,40.45
cv2,7.09,3.99,21.51,57.41
cv2,6.49,3.67,17.61,44.09
cv2,7.39,2.97,15.9,38.54
cv2,7.04,3.96,21.57,57.62
cv2,6.97,3.23,17.83,44.83
cv2,5.95,2.86,13.09,29.82
cv2,6.63,2.87,14.57,34.35
cv2,6.83,3.69,19.27,49.65
cv2,6.4,2.88,13.73,31.75
cv2,5.78,2.97,12.94,29.37
cv2,6.01,2.97,13.87,32.19
cv2,7.21,3.63,19.64,50.92
cv2,6.13,2.66,13.06,29.72
cv2,7.38,3.81,21.89,58.75
cv2,6.27,3.25,15.95,38.71
cv2,6.72,3.28,17.25,42.9
cv2,5.81,2.94,12.9,29.24
cv2,6.67,3.6,18.17,45.95
cv2,6.61,3.8,18.7,47.73
cv2,6.73,3.89,19.5,50.46
cv2,5.3,2.04,7.64,14.65
cv2,7.04,3.51,18.73,47.85
cv2,6.64,3.84,19.35,49.95
cv2,6.17,2.71,13.21,30.17
cv2,6.32,2.95,14.23,33.28
cv2,6.49,3.39,16.68,41.05
cv2,6.31,3.48,16.86,41.62
cv2,6.06,2.97,13.9,32.27
cv2,5.51,2.84,11.66,25.59
cv2,6.55,3.32,17.57,43.95
cv2,6.57,3.53,17.82,44.8
cv2,7.27,3.98,21.4,57.03
cv2,6.16,3.44,15.67,37.8
cv2,7.33,3.26,19.31,49.8
cv2,6.53,3.6,17.65,44.24
cv2,5.54,2.7,10.75,22.98
cv2,6.59,3.59,18.73,47.85
cv2,6.29,3.68,17.96,45.27
cv2,5.42,2.69,10.62,22.61
cv2,5.49,2.23,8.91,17.93
cv2,6.72,3.28,16.46,40.33
cv2,6.5,3.04,14.92,35.42
cv2,7.05,3.88,20.72,54.65
cv2,6.76,3.26,16.91,41.8
cv2,6.67,3.97,19.73,51.22
cv2,6.43,3.23,16.18,39.42
cv2,6.06,3.44,15.32,36.68
cv2,5.66,2.85,12.2,27.16
cv2,7.03,3.39,18.44,46.87
cv2,6.75,3.39,16.96,41.97
cv2,6.4,2.99,14.19,33.17
cv2,6.47,3.22,15.69,37.86
cv2,6.8,3.81,19.77,51.37
cv2,7.07,4.01,21.49,57.34
cv2,5.76,2.9,12.47,27.97
cv2,4.55,2.4,8.46,16.76
cv2,6.55,4,20.27,53.11
cv2,5.61,2.6,10.81,23.16
cv2,6.73,4.01,21.25,56.5
cv2,6.13,2.83,12.91,29.26
cv2,7.09,3.58,19.5,50.46
cv2,7,4.08,21.3,56.69
cv2,6.88,3.13,17.08,42.35
cv2,6.97,3.25,17.21,42.78
cv2,6.83,3.51,18.13,45.83
cv2,6.01,2.45,10.74,22.96
cv2,6.87,3.37,17.42,43.48
cv2,5.36,2.82,11.6,25.41
cv2,6.53,3.08,14.99,35.65
cv2,6.82,3.71,19.24,49.56
cv2,6.97,3.29,16.82,41.51
cv2,6.42,3.74,18.85,48.24
cv2,6.19,2.74,12.77,28.84
cv2,6.04,2.66,11.96,26.46
cv2,6.76,3.62,17.97,45.3
cv2,6.26,2.95,13.87,32.19
cv2,6.73,3.76,19.52,50.52
cv2,6.39,3.21,15.87,38.42
cv2,6.26,3.19,15.71,37.91
cv2,6.74,3.48,18.42,46.81
cv2,6.83,3.21,16.22,39.56
cv2,6.87,3.26,17.1,42.43
cv2,7.05,3.61,20.42,53.63
cv2,6.98,3.18,16.72,41.16
cv2,6.57,3.62,17.88,44.97
cv2,6.44,2.86,13.96,32.46
cv2,7.15,3.2,16.64,40.9
cv2,6.76,3.75,19.53,50.55
cv2,6.36,3.1,14.95,35.54
cv2,7.24,3.67,20.76,54.8
cv2,6.67,3.39,17.31,43.1
cv2,6.08,3.18,14.79,35.01
cv2,6.15,3.35,16.49,40.42
cv2,6,2.55,11.47,25.03
cv2,6.87,3.17,16.89,41.74
cv2,6.98,3.24,17.44,43.54
cv2,4.95,2.5,8.98,18.12
cv2,7.15,3.42,19.1,49.08
cv2,7.2,2.95,15.47,37.15
cv2,6.78,3.38,17.66,44.27
cv2,6.48,2.6,11.7,25.72
cv2,5.87,2.66,11.46,25
cv2,6.62,4.15,20.93,55.39
cv2,6.55,4.05,19.76,51.34
cv2,7.13,3.55,18.68,47.67
cv2,6.48,3.35,16.66,40.99
cv2,6.41,3.5,17.05,42.26
cv2,6.62,2.82,13.93,32.35
cv2,4.95,2.46,9.23,18.78
cv2,6.62,3.37,17.3,43.07
cv2,7.74,3.3,19.72,51.19
cv2,6.97,3.3,17.95,45.21
cv2,5.55,3.07,12.86,29.11
cv2,6.35,3.22,15.48,37.18
cv2,6.97,3.25,16.66,40.99
cv2,6.21,3.4,16.14,39.3
cv2,6.67,3,14.5,34.13
cv2,5.91,2.97,13.78,31.89
cv2,6.83,3.34,18.09,45.68
cv2,6.92,2.72,13.88,32.21
cv2,6.65,3.15,16.52,40.53
cv2,7.28,4.07,21.96,59
cv2,6.72,3.67,19.06,48.96
cv2,7.36,4.04,21.51,57.44
cv2,6.44,3.25,16.1,39.19
cv2,6.83,3.73,19.03,48.84
cv2,6.63,3.45,17.34,43.19
cv2,7.04,3.7,20.54,54.03
cv2,7.37,2.71,14.12,32.95
cv2,6.92,3.86,19.9,51.83
cv2,6.43,2.76,13.89,32.24
cv2,5.3,2.12,7.9,15.3
cv2,5.87,2.89,12.92,29.29
cv2,6.04,2.99,13.26,30.33
cv2,7.05,4.09,21.57,57.62
cv2,5.61,2.66,11.7,25.69
cv2,6.69,3.06,14.87,35.29
cv2,6.65,3.81,19.49,50.4
cv2,6.74,3.33,17.48,43.66
cv2,5.62,2.55,10.73,22.93
cv2,6.31,3.02,13.89,32.24
cv2,6.95,3.12,17.25,42.9
cv2,6.97,3.64,20.4,53.54
cv2,6.85,3.61,19.81,51.49
cv2,6.17,3.29,16.03,38.96
cv2,6.58,2.78,13.65,31.51
cv2,6.47,3.97,19.38,50.04
cv2,7.25,3.62,18.96,48.6
cv2,6.68,3.47,18.34,46.54
cv2,6.79,3.6,19.16,49.29
cv2,6.29,2.7,12.72,28.71
cv2,5.84,3.14,13.74,31.78
cv2,6.87,3.19,16.8,41.45
cv2,6.98,3.86,20.89,55.26
cv2,5.87,2.72,12.04,26.7
cv2,6.7,3.38,17.03,42.2
cv2,6.17,3.51,17.02,42.14
cv2,6.42,3.05,14.79,35.04
cv2,5.17,2.67,10.27,21.64
cv2,6.92,3.87,20.2,52.86
cv2,6.32,3.08,14.63,34.51
cv2,6.55,2.99,14.83,35.15
cv2,7.2,3.95,22.16,59.73
cv2,6.62,3.42,17.29,43.04
cv2,6.07,3.16,14.57,34.35
cv2,4.84,2.92,10.46,22.16
cv2,6.57,2.87,13.76,31.83
cv2,6.04,3.29,15.31,36.65
cv2,7.11,2.98,15.39,36.9
cv2,5.71,3.48,14.86,35.26
cv2,6.99,4.07,22.21,59.91
cv2,6.84,3.15,16.6,40.79
cv2,5.39,2.71,11.22,24.31
cv2,5.55,2.63,10.52,22.33
cv2,6.91,3.68,19.6,50.8
cv2,6.53,3.41,16.16,39.36
cv2,6.55,3.35,17.45,43.57
cv2,6.67,3.99,19.84,51.61
cv2,7.29,3.46,19.22,49.5
cv2,6.7,2.84,14.14,33
cv2,6.7,2.48,12.03,26.67
cv2,7.51,3.37,19.51,50.49
cv2,6.21,3.1,14.67,34.65
cv2,5.95,2.86,12.99,29.5
cv2,6.48,3.87,19.23,49.53
cv2,7.41,2.91,16.79,41.39
cv2,6.39,3.26,15.33,36.73
cv2,6.45,3.56,17.57,43.98
cv2,6.61,3.37,17.26,42.96
cv2,6.67,3.39,16.42,40.22
cv2,7.07,3.45,18.54,47.19
cv2,7.62,3.02,16.39,40.1
cv2,6.91,3.96,21.04,55.79
cv2,6.65,3.43,17.31,43.1
cv2,6,3.16,13.85,32.11
cv2,6.45,2.91,14.32,33.58
cv2,7.24,3.22,16.96,41.97
cv2,6.97,3.48,18.64,47.52
cv2,6.02,3.26,14.51,34.15
cv2,6.24,3.31,15.27,36.54
cv2,6.5,3.32,17.14,42.55
cv2,6.9,3.77,19.5,50.43
cv2,6.81,3.45,18.61,47.43
cv2,7.07,4.22,23.16,63.31
cv2,6.61,3.96,19.65,50.98
cv2,7.07,3.32,17.68,44.33
cv2,7.13,4.04,21.51,57.44
cv2,6.61,3.21,16.33,39.9
cv2,6.9,3.82,19.61,50.83
cv2,6.9,3.43,18.57,47.28
cv2,7.42,3.86,21.3,56.69
cv2,6.92,3.52,18.38,46.66
cv2,6.39,3.87,18.72,47.79
cv2,6.62,3.97,20.02,52.22
cv2,6.98,4.24,22.15,59.69
cv2,7.27,3.65,19.46,50.31
cv2,7.08,3.02,15.55,37.41
cv2,6.44,3.55,16.92,41.83
cv2,6.04,3.03,14.54,34.24
cv2,5.53,2.8,11.85,26.13
cv2,6.44,3.66,17.75,44.56
cv2,6.45,3.61,17.89,45.03
cv2,5.81,2.65,11.9,26.28
cv2,6.62,2.99,15.02,35.76
cv2,6.94,3.21,17.48,43.66
cv2,5.95,2.86,13,29.53
cv2,7.24,3.85,21.54,57.53
cv2,7.29,4.03,22.81,62.03
cv2,6.98,4.11,21.92,58.88
cv2,6.8,3.25,17.1,42.41
cv2,6.67,3.42,17.57,43.95
cv2,6.99,3.21,17.26,42.93
cv2,7.24,3.57,17.9,45.06
cv2,6.91,4.03,20.18,52.77
cv2,6.74,4.28,22.66,61.5
cv2,6.88,3.35,17.26,42.96
cv2,6.79,3.58,18.41,46.75
cv2,5.24,2.62,10.37,21.91
cv2,5.65,2.94,12.48,28
cv2,5.95,3.59,16.75,41.28
cv2,6.75,4.23,21.38,56.97
cv2,6.16,3.16,15.14,36.12
cv2,6.73,3.56,18.41,46.75
cv2,7.29,3.5,19.42,50.16
cv2,7.25,4.11,22.38,60.51
cv2,6.44,3.11,14.98,35.62
cv2,7.52,3.63,20.79,54.89
cv2,6.87,3.68,19.37,50.01
cv2,7.15,2.76,14.78,34.98
cv2,5.77,3.58,15.51,37.3
cv2,5.09,2.29,8.95,18.05
cv2,7.76,3.95,22.63,61.4
cv2,6.63,3.6,17.33,43.16
cv2,7.1,3.97,21.03,55.73
cv2,7.47,3.8,21.58,57.66
cv2,7.09,4.14,21.94,58.94
cv2,5.55,2.56,10.88,23.36
cv2,6.8,4.15,21.94,58.94
cv2,6.87,3.27,17.26,42.93
cv2,6.55,3.31,16.91,41.8
cv2,7.12,3.39,18.79,48.03
cv2,6.53,3.01,14.71,34.79
cv2,6.94,3.17,16.29,39.79
cv2,6.69,3.56,18.34,46.54
cv2,7.48,4.09,23.36,64.05
cv2,6.9,4.13,21.64,57.87
cv2,7.03,3.59,19.42,50.16
cv2,7.03,3.37,18.06,45.59
cv2,6.44,3.87,19.21,49.47
cv2,6.89,3.28,17.88,45
cv2,6.69,3.68,18,45.39
cv2,6.56,4.24,20.88,55.2
cv2,6.4,3.16,15.42,37.01
cv2,5.84,2.7,11.62,25.49
cv2,6.34,3.05,14.85,35.2
cv2,6.95,4.26,21.87,58.69
cv2,7.09,3.7,20.19,52.83
cv2,6.7,3.45,17.75,44.56
cv2,7.28,3.02,16.01,38.88
cv2,6.82,4.33,22.37,60.48
cv2,6.92,3.79,19.29,49.74
cv2,6.42,3.47,17.34,43.19
cv2,7.12,3.65,18.88,48.33
cv2,7.03,3.67,18.8,48.06
cv2,6.44,3.48,17.52,43.8
cv2,6.41,2.53,12.03,26.67
cv2,7.54,2.81,15.97,38.76
cv2,6.99,3.45,18.56,47.25
cv2,6.74,3.52,17.53,43.83
cv2,7.09,3.65,20.35,53.39
cv2,7.27,4.03,23.49,64.49
cv2,6.76,3.36,16.86,41.62
cv2,6.59,3.56,18.42,46.78
cv2,6.62,3.07,15.1,35.98
cv2,6.92,3.13,16.33,39.9
cv2,6.62,3.6,18.92,48.48
cv2,6.2,3.02,14.13,32.98
cv2,6.62,3.66,18.58,47.34
cv2,5.65,3.09,12.47,27.97
cv2,6.82,3.76,20.29,53.17
cv2,5.22,2.38,9.15,18.59
cv2,5.91,3.36,15.34,36.76
cv2,7.09,3.97,22.17,59.76
cv2,6.26,3.78,17.8,44.71
cv2,6.82,3.41,17.75,44.56
cv2,6.09,2.94,13.6,31.35
cv2,7.2,4.23,23.16,63.31
cv2,6.97,3.92,21.04,55.76
cv2,6.03,3.26,15.48,37.18
cv2,7.51,3.75,21.94,58.94
cv2,6.99,3.48,18.02,45.45
cv2,7.36,3.87,21.95,58.97
cv2,6.62,3.9,19.65,50.95
cv2,7.05,4.2,22.2,59.85
cv2,6.83,3.63,18.61,47.43
cv2,6.43,3.05,15.4,36.93
cv2,6.7,3.81,19.78,51.4
cv2,5.32,2.85,11.03,23.78
cv2,6.98,3.38,18.03,45.48
cv2,7.69,3.4,20.39,53.51
cv2,6.61,3.75,19.38,50.04
cv2,6.31,3.72,18.12,45.8
cv2,6.84,4.23,21.77,58.34
cv2,5.6,2.96,12.04,26.7
cv2,7.17,3.52,18.82,48.15
cv2,6.46,3.66,17.17,42.64
cv2,7.33,4.12,23.04,62.86
cv2,6.99,3.89,20.2,52.86
cv2,6.53,2.94,14.31,33.52
cv2,6.64,2.98,15.83,38.31
cv2,5.72,2.65,11.21,24.29
cv2,6.63,4.44,22.51,60.99
cv2,7.38,3.7,21.27,56.56
cv2,6.82,3.85,19.65,50.95
cv2,6.81,3.58,18.78,48
cv2,6.98,3.33,16.94,41.88
cv2,6.26,3.86,18.45,46.9
