genotype,height,spike_weight,disease_spot,heat_tolerance,region,yield
CV1,110.5,24.70,2,yes,North,21857.32
CV1,110.5,25.08,0,no,Mid_West,7301.5482
CV2,89.5,52.58,1,yes,Test_field,44477.8982
CV1,92.5,22.52,1,no,North,3570.67085
CV2,116.5,30.90,0,yes,Mid_East,39704.114
CV1,111.5,36.96,1,no,North,7999.63545
CV2,131.5,26.41,0,no,Mid_West,14371.0579
CV2,116.5,29.83,1,no,Mid_West,9264.5267
CV2,114.5,29.80,3,yes,Mid_East,25285.989
CV1,94.5,21.47,0,no,North,3329.9703
CV2,122.5,27.65,0,no,North,10571.00155
CV1,115.5,28.90,0,no,Mid_East,8254.023
CV1,112.5,31.79,0,no,Test_field,17905.80337
CV1,91.5,39.49,0,no,Test_field,2457.4791
CV2,99.5,33.82,1,no,North,4439.2218
CV2,91.5,32.01,0,no,Test_field,1958.0819
CV2,124.5,27.94,1,no,Test_field,11530.7236
CV2,126.5,41.14,1,yes,Test_field,48946.7476
CV2,103.5,28.60,3,no,North,6524.69505
CV1,96.5,25.60,4,no,Mid_East,5685.367
CV1,109.5,25.30,1,no,Mid_East,7021.999
CV2,115.5,37.29,2,no,Test_field,8954.6851
CV2,106.5,42.66,0,no,Mid_West,5733.91345
CV2,130.5,21.66,1,no,North,14326.3544
CV1,121.5,31.90,1,no,Test_field,10905.349
CV2,104.5,37.07,1,yes,Test_field,39848.2043
CV2,130.5,31.45,0,no,Mid_West,13950.95555
CV2,88.5,31.26,0,no,North,1886.02745
CV1,121.5,28.88,2,no,Mid_West,12073.1512
CV1,127.5,18.34,0,no,Mid_West,13180.78565
CV1,99.5,29.59,1,no,Test_field,4539.3421
CV1,114.5,32.00,1,no,Mid_East,8527.847
CV2,88.5,26.03,0,no,Mid_West,2078.7647
CV2,95.5,31.68,0,yes,Test_field,34648.6472
CV2,130.5,33.66,3,no,Test_field,15138.0344
CV2,85.5,21.78,2,no,Test_field,11860.54858
CV2,99.5,27.84,1,no,North,4430.90265
CV2,105.5,19.95,1,no,North,5832.4025
CV2,99.5,31.50,1,no,Mid_East,4052.997
CV1,129.5,30.50,2,no,North,14996.26005
CV1,106.5,18.30,5,yes,Mid_East,18999.76
CV2,122.5,28.98,0,no,Mid_West,10772.85025
CV2,124.5,31.54,0,no,North,11329.7276
CV2,119.5,47.74,1,no,Test_field,9725.4106
CV2,123.5,22.10,0,no,Mid_East,10553.587
CV2,114.5,36.19,0,yes,Test_field,41652.5811
CV1,122.5,29.83,0,no,Mid_West,11263.0387
CV2,90.5,32.70,3,no,Mid_East,3567.98
CV1,89.5,30.40,0,yes,North,33884.048
CV1,117.5,33.70,4,no,Mid_East,11275.843
CV1,85.5,31.35,4,no,Mid_West,4537.6885
CV1,118.5,34.96,2,yes,Mid_West,44617.6974
CV2,89.5,33.77,0,no,Test_field,1651.1323
CV1,119.5,30.88,0,no,Mid_West,23022.06616
CV1,92.5,33.99,1,no,Test_field,3203.6211
CV1,100.5,19.10,2,yes,Mid_West,16752.80405
CV2,120.5,28.60,3,no,Mid_East,11229.921
CV2,96.5,38.94,1,no,Test_field,3447.9096
CV2,125.5,36.08,0,no,Test_field,11339.7832
CV2,104.5,29.80,0,no,Mid_East,20397.10465
CV1,121.5,31.24,0,no,Test_field,10315.4316
CV1,116.5,29.93,0,no,North,8964.65875
CV1,117.5,26.22,2,no,North,10470.4458
CV2,93.5,30.00,1,no,Mid_East,2880.588
CV2,112.5,20.35,3,no,Test_field,8581.8615
CV1,121.5,32.30,1,no,Mid_West,11488.905
CV2,105.5,38.39,3,yes,Test_field,41925.7441
CV1,115.5,25.85,3,yes,Test_field,24157.4335
CV1,95.5,26.32,3,no,North,5288.66985
CV2,90.5,24.51,0,no,Mid_West,2372.5959
CV2,122.5,32.67,1,no,Test_field,10783.9863
CV2,108.5,29.64,5,no,Mid_West,9198.9026
CV2,92.5,33.33,2,yes,Test_field,36101.0737
CV2,100.5,35.75,1,yes,Test_field,38259.2495
CV1,97.5,19.95,3,no,North,5669.9305
CV1,90.5,31.40,0,yes,Mid_East,34142.773
CV2,113.5,38.17,2,no,Test_field,8323.6643
CV1,120.5,36.86,3,yes,North,46637.9424
CV1,94.5,32.40,1,no,Mid_West,18879.99141
CV1,90.5,42.75,1,yes,Mid_West,40880.6995
CV1,130.5,25.08,0,no,North,14231.1082
CV2,122.5,29.90,0,no,Mid_East,10191.136
CV1,102.5,35.86,2,no,Test_field,5813.0204
CV2,101.5,32.80,1,no,Mid_East,14334.86437
CV1,86.5,18.60,0,no,Mid_East,1705.397
CV1,106.5,23.87,5,no,Test_field,8558.8023
CV2,94.5,45.90,2,no,Mid_East,3669.928
CV2,124.5,40.28,0,no,Mid_West,20685.52034
CV1,119.5,18.34,0,no,North,9967.53765
CV2,95.5,33.82,0,no,North,19649.83573
CV1,117.5,28.12,3,no,North,11062.0868
CV1,111.5,25.00,1,no,Mid_East,7600.018
CV1,93.5,22.23,0,no,North,3152.7877
CV2,100.5,30.25,0,no,Test_field,3680.8545
CV1,86.5,32.49,0,yes,North,36875.23308
CV2,117.5,37.07,1,no,Test_field,9024.5273
CV1,108.5,32.60,3,no,Mid_East,7931.017
CV1,119.5,24.86,0,no,Test_field,27094.49378
CV2,106.5,32.34,2,no,Test_field,6314.5756
CV2,117.5,32.30,2,no,Mid_East,9606.897
CV2,119.5,32.78,3,no,North,11265.60925
CV2,127.5,32.80,0,yes,Mid_East,52567.32939
CV1,87.5,31.92,0,no,North,2238.0688
CV2,122.5,21.50,1,no,Mid_East,10768.46
CV2,109.5,34.10,0,no,Mid_East,5956.231
CV1,85.5,30.31,0,no,Mid_West,2180.23595
CV1,125.5,36.48,0,no,North,12212.3392
CV1,110.5,32.56,3,yes,Test_field,40917.7854
CV1,102.5,35.82,1,no,North,5606.95785
CV1,115.5,27.93,4,no,North,10991.6747
CV1,103.5,22.14,3,no,Mid_West,7204.71565
CV2,86.5,44.88,0,yes,Test_field,39699.2462
CV1,90.5,23.18,2,no,North,14402.57385
CV1,87.5,30.59,0,no,Mid_West,2436.2201
CV1,99.5,41.10,0,no,Mid_East,3966.341
CV1,110.5,34.58,1,no,North,7703.7532
CV2,101.5,42.13,2,no,Test_field,5100.6887
CV2,97.5,38.83,1,no,Test_field,18939.67192
CV1,85.5,28.22,0,no,Mid_West,2177.33085
CV1,108.5,28.31,1,no,North,7130.0539
CV1,102.5,26.13,0,no,Mid_West,5204.48875
CV2,124.5,40.37,0,no,Test_field,10959.0013
CV1,96.5,24.60,2,no,Mid_East,4505.977
CV2,99.5,35.20,2,no,Mid_East,4647.14
CV1,104.5,34.11,1,no,North,6088.85295
CV2,85.5,27.36,1,yes,Mid_West,17155.1824
CV1,110.5,26.70,2,yes,Mid_East,22455.1
CV1,123.5,41.91,0,no,Test_field,11070.1229
CV2,105.5,29.26,2,no,North,6434.3434
CV2,96.5,32.11,2,no,North,4410.4159
CV1,89.5,27.10,0,no,Mid_East,2130.861
CV1,119.5,24.13,1,yes,North,23864.1627
CV1,107.5,27.40,1,no,Mid_East,6473.386
CV1,90.5,34.87,0,no,Mid_West,2875.98935
CV2,98.5,29.81,0,yes,Test_field,19326.8689
CV1,109.5,41.33,1,no,Mid_West,7627.27375
CV1,91.5,29.93,0,no,North,2827.18375
CV1,92.5,30.30,0,no,Mid_East,2609.492
CV1,115.5,27.36,1,no,Mid_West,9423.8824
CV1,90.5,28.49,1,yes,Test_field,18304.7381
CV2,112.5,23.56,2,no,Mid_West,8580.3234
CV2,87.5,35.63,3,yes,North,37441.84375
CV1,129.5,32.68,0,no,North,13821.2972
CV1,110.5,25.27,1,yes,Mid_West,21747.8423
CV1,90.5,28.00,0,no,Mid_East,13103.17745
CV1,98.5,32.78,2,no,North,5303.90025
CV1,108.5,21.76,1,no,Mid_West,13701.97184
CV1,125.5,32.40,1,no,Mid_West,12995.66105
CV1,115.5,36.58,0,no,North,8647.69125
CV1,98.5,21.76,0,no,North,4110.58245
CV1,86.5,27.93,3,no,North,18815.20366
CV1,86.5,30.02,0,yes,North,33284.0508
CV2,108.5,33.55,0,no,Test_field,5676.3375
CV2,107.5,29.36,1,no,North,6370.10345
CV1,98.5,25.80,2,no,Mid_East,4911.205
CV2,104.5,24.32,2,no,North,6175.2518
CV2,113.5,40.38,2,no,North,8709.72925
CV2,89.5,32.11,0,no,North,2031.8249
CV2,118.5,32.30,1,no,Mid_West,9940.56
CV1,85.5,27.28,3,yes,Test_field,18199.9512
CV2,102.5,17.86,1,no,North,5093.0004
CV1,126.5,34.80,2,no,Mid_East,36887.10803
CV2,103.5,33.40,2,yes,Mid_East,38391.974
CV1,104.5,25.56,1,yes,Mid_West,20273.36345
CV2,126.5,37.10,1,no,Mid_East,12323.672
CV2,103.5,30.88,1,no,North,5349.86425
CV2,106.5,34.10,2,no,Test_field,23539.51618
CV2,85.5,21.47,0,no,Mid_West,1678.9553
CV1,119.5,33.30,2,no,Mid_East,10783.339
CV1,94.5,31.26,1,no,North,3932.57145
CV2,85.5,39.14,0,no,Mid_West,12866.55765
CV2,107.5,25.08,0,no,Test_field,5392.1612
CV2,96.5,37.29,2,no,Test_field,4034.6161
CV1,113.5,34.60,1,yes,Mid_East,41638.102
CV1,105.5,30.21,3,no,North,7513.6639
CV1,97.5,21.95,1,no,Mid_West,4694.70355
CV2,107.5,24.97,2,no,Test_field,6570.0083
CV2,117.5,25.30,0,no,Test_field,8419.167
CV1,87.5,24.42,0,yes,Test_field,26102.17477
CV2,108.5,23.94,1,no,Mid_West,6834.9796
CV1,100.5,39.82,1,no,Test_field,4772.1568
CV2,105.5,16.82,2,no,Mid_West,6617.04485
CV2,109.5,37.18,2,no,Test_field,7138.5122
CV2,123.5,34.43,0,no,Test_field,10570.7257
CV2,125.5,30.31,0,no,Mid_West,11914.75595
CV2,119.5,34.49,3,yes,North,59997.89897
CV1,87.5,21.80,0,yes,Mid_East,20143.83603
CV1,121.5,24.61,3,no,North,12456.20895
CV2,125.5,23.30,0,no,Mid_East,11322.019
CV1,112.5,27.83,2,no,Test_field,8492.2587
CV2,93.5,31.07,0,no,North,2676.06835
CV1,130.5,21.66,0,no,Mid_West,14426.3544
CV1,125.5,28.22,0,no,North,12200.85085
CV2,104.5,22.71,3,no,Mid_West,6962.00695
CV1,92.5,42.13,1,no,Test_field,3214.9357
CV2,119.5,41.80,2,yes,Test_field,47246.354
CV2,131.5,36.96,2,yes,Test_field,49554.1624
CV1,89.5,21.28,3,no,North,4272.7712
CV1,95.5,33.11,0,no,Test_field,3148.1149
CV2,85.5,33.33,0,no,Test_field,1112.4407
CV2,95.5,24.30,5,no,Mid_East,5591.869
CV1,112.5,25.70,3,no,Mid_East,9078.298
CV2,100.5,29.40,4,no,Mid_East,6035.673
CV1,85.5,39.82,0,no,Test_field,1610.4618
CV2,99.5,33.63,1,yes,Mid_West,37584.0277
CV2,91.5,29.83,0,yes,Mid_West,18624.9217
CV2,86.5,19.80,0,no,Mid_East,1218.065
CV2,87.5,27.30,0,yes,Mid_East,16209.347
CV1,107.5,29.30,4,no,Mid_East,15805.32173
CV1,101.5,27.72,0,no,Test_field,4391.6588
CV1,109.5,37.90,0,no,Mid_East,6450.513
CV1,118.5,36.39,3,no,North,11413.23815
CV1,121.5,27.65,1,no,North,11282.43455
CV2,122.5,37.72,3,no,North,30040.08055
CV1,119.5,23.18,0,no,Mid_West,10174.2722
CV1,99.5,20.52,0,no,Mid_West,4520.7348
CV2,95.5,37.10,1,no,Mid_East,3253.661
CV1,108.5,28.05,1,no,Test_field,6746.6925
CV1,110.5,29.90,1,no,Mid_East,7314.248
CV1,116.5,33.35,2,no,Mid_West,10347.41255
CV2,131.5,23.76,0,yes,Test_field,26903.0144
CV1,122.5,30.50,0,no,Mid_East,10680.97
CV2,91.5,31.07,0,yes,Mid_West,34230.55335
CV1,87.5,33.30,0,no,Mid_East,1856.987
CV2,112.5,27.50,3,no,Mid_East,8591.8
CV2,93.5,33.92,1,no,North,3269.02985
CV1,92.5,34.49,0,no,North,2998.30915
CV2,110.5,25.52,5,no,Test_field,14454.83015
CV2,102.5,27.61,1,no,Test_field,4723.5529
CV2,93.5,27.06,0,yes,Test_field,17019.8414
CV2,124.5,23.70,0,no,Mid_East,10935.83
CV1,89.5,30.40,0,no,Mid_West,2718.448
CV1,99.5,29.74,0,no,North,4333.54365
CV2,106.5,29.93,1,yes,Mid_West,22438.54375
CV1,92.5,26.79,2,no,North,4165.6131
CV1,115.5,33.33,0,no,Test_field,8260.1807
CV1,114.5,27.65,2,yes,North,24512.19855
CV1,85.5,21.66,0,yes,Mid_West,14259.9594
CV2,85.5,30.03,1,no,Test_field,1696.8537
CV2,128.5,36.30,1,yes,Mid_East,47380.38
CV1,114.5,24.32,0,no,Mid_West,8511.1718
CV1,95.5,17.29,0,no,Mid_West,3709.1251
CV1,103.5,25.90,1,no,Mid_East,5448.949
CV2,87.5,39.40,2,yes,Mid_East,38321.066
CV2,111.5,34.32,1,no,Test_field,7123.9728
CV1,105.5,19.95,2,no,Mid_West,7110.4025
CV2,86.5,34.90,0,yes,Mid_East,34805.154
CV2,88.5,23.21,0,no,Test_field,1491.8449
CV2,113.5,25.75,3,no,North,9278.39355
CV2,125.5,25.18,0,no,Mid_West,11907.62525
CV2,87.5,22.00,1,no,Mid_East,1941.28
CV2,85.5,26.13,0,no,Mid_West,1685.42575
CV1,95.5,26.51,2,no,Test_field,4316.9409
CV2,100.5,27.46,2,no,North,5237.96945
CV1,86.5,25.75,1,no,North,2687.32855
CV2,112.5,30.36,0,yes,Test_field,62569.37309
CV2,129.5,30.88,3,yes,North,46694.66325
CV1,92.5,20.80,1,no,Mid_East,3185.287
CV2,110.5,27.80,0,yes,Mid_East,37806.2242
CV2,109.5,24.61,2,yes,Mid_West,21235.87795
CV1,91.5,27.72,0,no,Test_field,2441.1188
CV1,96.5,21.85,0,yes,Mid_West,16091.8045
CV2,99.5,28.12,4,yes,North,21448.9788
CV1,92.5,30.20,0,yes,Mid_East,33877.153
CV2,108.5,32.20,2,no,Mid_East,6852.461
CV2,109.5,26.32,1,no,North,6917.40985
CV1,100.5,26.70,0,no,North,4547.91305
CV2,101.5,42.90,1,no,Mid_East,4512.759
CV1,86.5,34.70,2,yes,Mid_East,36374.076
CV1,97.5,23.66,3,yes,North,18742.37545
CV2,85.5,28.31,1,no,Mid_West,11248.83139
CV1,86.5,20.60,0,no,Mid_East,1708.177
CV2,85.5,53.13,0,no,Test_field,1139.9627
CV2,102.5,39.71,4,no,Mid_West,19473.21917
CV1,106.5,26.32,2,no,North,7178.20085
CV2,98.5,31.07,3,no,North,5401.52335
CV2,129.5,26.70,0,yes,Mid_West,28077.83305
CV2,129.5,38.83,0,no,Test_field,12957.8457
CV1,109.5,40.37,2,yes,Test_field,43872.8763
CV2,98.5,25.94,1,no,North,4216.39265
CV2,128.5,33.54,0,no,Mid_West,13119.83665
CV1,109.5,32.87,0,no,Mid_West,7026.5213
CV2,118.5,30.03,1,no,Test_field,9354.4047
CV1,90.5,24.23,2,no,Mid_West,22372.24424
CV2,119.5,38.60,2,no,Mid_East,10301.706
CV1,124.5,25.74,2,no,Test_field,12605.6656
CV1,90.5,33.40,0,no,Mid_East,10772.43733
CV1,119.5,44.70,3,no,Mid_East,11388.185
CV2,117.5,30.97,3,no,North,10577.0483
CV1,85.5,31.92,0,no,Mid_West,2182.4808
CV1,85.5,36.85,0,no,Test_field,1606.3335
CV1,88.5,25.80,0,no,Mid_East,1984.445
CV1,128.5,29.07,0,yes,North,29117.8603
